項目名稱,選舉名稱,申報序號／年度,交易日期,收支科目,公司名稱,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,捐贈方式,存入專戶日期,返還/繳庫,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期,產業類別
羅致政,113年立法委員選舉,首次,112 年 06 月 20 日,營利事業捐贈收入,雍立貿易,12106345,200000,0,,金錢,臺北市松山區****,,匯款,112 年 06 月 20 日,,,,,,,,,,寵物食品及其用品零售業
羅致政,113年立法委員選舉,首次,112 年 06 月 20 日,營利事業捐贈收入,雍立貿易,12106345,200000,0,,金錢,臺北市松山區****,,匯款,112 年 06 月 20 日,,,,,,,,,,飼料零售業
羅致政,113年立法委員選舉,首次,112 年 07 月 24 日,營利事業捐贈收入,則越廣告行銷,89501273,10000,0,,金錢,新北市板橋區****,0936*****,匯款,112 年 07 月 24 日,已返還,,,,,,,,,產品設計業
羅致政,113年立法委員選舉,首次,112 年 07 月 24 日,營利事業捐贈收入,則越廣告行銷,89501273,10000,0,,金錢,新北市板橋區****,0936*****,匯款,112 年 07 月 24 日,已返還,,,,,,,,,電腦及其週邊設備製造業
羅致政,113年立法委員選舉,首次,112 年 07 月 31 日,營利事業捐贈收入,漢振機電,86666813,100000,0,,金錢,新北市板橋區****,,匯款,112 年 07 月 31 日,已返還,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 01 日,營利事業捐贈收入,隆通工程,84911447,150000,0,,金錢,新北市汐止區****,,匯款,112 年 08 月 01 日,,,,,,,,,,機械批發業
羅致政,113年立法委員選舉,首次,112 年 08 月 01 日,營利事業捐贈收入,標捷能源,25078383,100000,0,,金錢,新北市新莊區****,,現金,112 年 08 月 04 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 01 日,營利事業捐贈收入,祺勝建設,53699342,100000,0,,金錢,新北市板橋區****,,現金,112 年 08 月 04 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 02 日,營利事業捐贈收入,榕國投資,27790941,200000,0,,金錢,臺中市南屯區****,,匯款,112 年 08 月 02 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 04 日,營利事業捐贈收入,品佳金屬建材,34540646,10000,0,,金錢,新北市板橋區****,,匯款,112 年 08 月 04 日,已返還,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 07 日,營利事業捐贈收入,新東豐機械,33342106,100000,0,,金錢,新北市土城區****,0918*****,匯款,112 年 08 月 07 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 07 日,營利事業捐贈收入,豐聖彩色印刷,28654297,20000,0,,金錢,新北市板橋區****,,現金,112 年 08 月 11 日,已返還,,,,,,,,,產品設計業
羅致政,113年立法委員選舉,首次,112 年 08 月 15 日,營利事業捐贈收入,億品投資,42659688,200000,0,,金錢,新北市新莊區****,,匯款,112 年 08 月 15 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 18 日,營利事業捐贈收入,英電舍電機,96959021,10000,0,,金錢,新北市新莊區****,,匯款,112 年 08 月 18 日,,,,,,,,,,機械批發業
羅致政,113年立法委員選舉,首次,112 年 08 月 19 日,營利事業捐贈收入,中圓寵物,27852967,80000,0,,金錢,桃園市桃園區****,,現金,112 年 09 月 01 日,,,,,,,,,,寵物食品及其用品零售業
羅致政,113年立法委員選舉,首次,112 年 08 月 19 日,營利事業捐贈收入,中圓寵物,27852967,80000,0,,金錢,桃園市桃園區****,,現金,112 年 09 月 01 日,,,,,,,,,,其他農畜水產零售業
羅致政,113年立法委員選舉,首次,112 年 08 月 19 日,營利事業捐贈收入,中圓寵物,27852967,80000,0,,金錢,桃園市桃園區****,,現金,112 年 09 月 01 日,,,,,,,,,,飼料零售業
