項目名稱,選舉名稱,申報序號／年度,交易日期,收支科目,公司名稱,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,捐贈方式,存入專戶日期,返還/繳庫,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期,產業類別
羅致政,113年立法委員選舉,首次,112 年 07 月 31 日,營利事業捐贈收入,漢振機電,86666813,100000,0,,金錢,新北市板橋區****,,匯款,112 年 07 月 31 日,已返還,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 02 日,營利事業捐贈收入,榕國投資,27790941,200000,0,,金錢,臺中市南屯區****,,匯款,112 年 08 月 02 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 08 月 28 日,營利事業捐贈收入,三得電子,23148976,100000,0,,金錢,臺北市北投區****,,匯款,112 年 08 月 28 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 09 月 01 日,營利事業捐贈收入,基宏實業,86377546,300000,0,,金錢,新北市永和區****,,匯款,112 年 09 月 08 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 09 月 04 日,營利事業捐贈收入,慕田投資,24767257,100000,0,,金錢,臺北市信義區****,,匯款,112 年 09 月 04 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 09 月 14 日,營利事業捐贈收入,嘉豐物流,13198835,500000,0,,金錢,高雄市小港區****,,匯款,112 年 09 月 14 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 09 月 22 日,營利事業捐贈收入,滙豐柏油,34115430,300000,0,,金錢,新北市板橋區****,,匯款,112 年 09 月 22 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 09 月 22 日,營利事業捐贈收入,得弘企業,27391141,200000,0,,金錢,新北市板橋區****,,匯款,112 年 09 月 22 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 11 月 10 日,營利事業捐贈收入,皇俊投資,86379729,500000,0,,金錢,新北市板橋區****,,匯款,112 年 11 月 10 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 11 月 10 日,營利事業捐贈收入,皇銘實業,97169355,500000,0,,金錢,新北市板橋區****,,匯款,112 年 11 月 10 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 11 月 17 日,營利事業捐贈收入,勵達企業,86416055,200000,0,,金錢,新北市板橋區****,0932*****,匯款,112 年 11 月 17 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 12 月 16 日,營利事業捐贈收入,宏穎真空鍍金,34446728,50000,0,,金錢,新北市板橋區****,0918*****,票據,112 年 12 月 19 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,112 年 12 月 25 日,營利事業捐贈收入,昌運建設開發,89895213,200000,0,,金錢,臺中市西區大****,0931*****,票據,113 年 01 月 03 日,,,,,,,,,,
羅致政,113年立法委員選舉,首次,113 年 01 月 05 日,營利事業捐贈收入,文傑建設,97060685,300000,0,,金錢,新北市三峽區****,0919*****,匯款,113 年 01 月 05 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,112 年 11 月 15 日,營利事業捐贈收入,有限責任淡水第一信用合作社,37098407,300000,0,,金錢,新北市淡水區****,,匯款,112 年 11 月 15 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,112 年 12 月 04 日,營利事業捐贈收入,泰群實業股份有限金司,23416043,500000,0,,金錢,臺北市信義區****,,票據,112 年 12 月 04 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,112 年 12 月 06 日,營利事業捐贈收入,大慶票券金融,97172915,200000,0,,金錢,臺北市中山區****,,匯款,112 年 12 月 06 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,112 年 12 月 25 日,營利事業捐贈收入,龍益窯業,84534970,50000,0,,金錢,新北市鶯歌區****,,現金,112 年 12 月 25 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,112 年 12 月 28 日,營利事業捐贈收入,昌運建設開發,89895213,200000,0,,金錢,臺中市西區大****,,票據,113 年 01 月 05 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,113 年 01 月 08 日,營利事業捐贈收入,巨昇玻璃,89656851,300000,0,,金錢,新北市土城區****,,匯款,113 年 01 月 08 日,,,,,,,,,,
蘇巧慧,113年立法委員選舉,首次,113 年 01 月 10 日,營利事業捐贈收入,宜聯鋼鐵,42032010,50000,0,,金錢,宜蘭縣冬山鄉****,,匯款,113 年 01 月 10 日,,,,,,,,,,
林志潔,113年立法委員選舉,首次,112 年 07 月 04 日,營利事業捐贈收入,提博琴行,50523897,10000,0,,金錢,新竹市北區新****,0935*****,匯款,112 年 07 月 07 日,,,,,,,,,,
林志潔,113年立法委員選舉,首次,112 年 10 月 13 日,營利事業捐贈收入,本覺投資,28056270,200000,0,,金錢,臺中市北屯區****,0928*****,匯款,112 年 10 月 13 日,,,,,,,,,,
林志潔,113年立法委員選舉,首次,112 年 11 月 09 日,營利事業捐贈收入,昊天投資,85064412,300000,0,,金錢,新竹市北區水****,0963*****,匯款,112 年 11 月 09 日,,,,,,,,,,
林志潔,113年立法委員選舉,首次,112 年 12 月 11 日,營利事業捐贈收入,昊天投資,85064412,150000,0,,金錢,新竹市北區水****,0963*****,匯款,112 年 12 月 11 日,,,,,,,,,,
邱顯智,113年立法委員選舉,首次,112 年 09 月 10 日,營利事業捐贈收入,謐謐甜點,50522927,5000,0,,金錢,新竹市東區鐵****,,現金,112 年 09 月 15 日,,,,,,,,,,
邱顯智,113年立法委員選舉,首次,112 年 12 月 01 日,營利事業捐贈收入,光斯特化學,53044816,200000,0,,非金錢,桃園市桃園區****,,,,,,,,,,,,,
柯美蘭,113年立法委員選舉,首次,112 年 10 月 21 日,營利事業捐贈收入,悅視工作室,31848635,10000,0,,金錢,台北市光復南****,0926*****,匯款,112 年 10 月 21 日,,,,,,,,,,
柯美蘭,113年立法委員選舉,首次,112 年 10 月 24 日,營利事業捐贈收入,東映企業社,88859132,10000,0,,金錢,新竹市千甲路****,03-5*****,匯款,112 年 10 月 24 日,,,,,,,,,,
鄭正鈐,113年立法委員選舉,首次,112 年 11 月 14 日,營利事業捐贈收入,滿憶營造,97028449,20000,0,,金錢,高雄市鳳山區****,,匯款,112 年 11 月 14 日,,,,,,,,,,
鄭正鈐,113年立法委員選舉,首次,112 年 11 月 23 日,營利事業捐贈收入,程鈞興業,42988345,200000,0,,金錢,新竹縣湖口達****,,票據,112 年 11 月 23 日,,,,,,,,,,
鄭正鈐,113年立法委員選舉,首次,112 年 12 月 05 日,營利事業捐贈收入,實合營造,42568097,100000,0,,金錢,桃園市龍潭區****,,匯款,112 年 12 月 05 日,,,,,,,,,,
鄭正鈐,113年立法委員選舉,首次,112 年 12 月 11 日,營利事業捐贈收入,彰京開發,4895825,500000,0,,金錢,臺北市大安區****,,匯款,112 年 12 月 11 日,已繳庫,,,,,,,,,
鄭正鈐,113年立法委員選舉,首次,112 年 12 月 29 日,營利事業捐贈收入,良岳營造,97329352,100000,0,,金錢,新竹縣竹北市****,,匯款,112 年 12 月 29 日,,,,,,,,,,
王婉諭,113年立法委員選舉,首次,112 年 07 月 04 日,營利事業捐贈收入,嚨口秘境觀海民宿,85312692,3000,0,,金錢,金門縣金寧鄉****,0922*****,匯款,112 年 07 月 11 日,,,,,,,,,,
王婉諭,113年立法委員選舉,首次,112 年 07 月 17 日,營利事業捐贈收入,思貝太,69369705,10000,0,,金錢,台北市信義區****,,匯款,112 年 07 月 24 日,已返還,,,,,,,,,
王婉諭,113年立法委員選舉,首次,112 年 09 月 08 日,營利事業捐贈收入,九嶽投資,54181648,300000,0,,金錢,台北市大安區****,,匯款,112 年 09 月 08 日,已繳庫,,,,,,,,,
王婉諭,113年立法委員選舉,首次,112 年 10 月 15 日,營利事業捐贈收入,天奕精密工業,42842573,6000,0,,金錢,台北市信義區****,0910*****,匯款,112 年 10 月 15 日,,,,,,,,,,
王婉諭,113年立法委員選舉,首次,112 年 11 月 25 日,營利事業捐贈收入,長亨開發,83082169,3000,0,,金錢,彰化縣福興鄉****,0922*****,匯款,112 年 12 月 01 日,已返還,,,,,,,,,
林思銘,113年立法委員選舉,首次,112 年 06 月 27 日,營利事業捐贈收入,康和綜合證券,23824511,500000,0,,金錢,臺北市信義區****,,匯款,112 年 06 月 27 日,,,,,,,,,,
林思銘,113年立法委員選舉,首次,112 年 11 月 06 日,營利事業捐贈收入,權亞石材,47181262,100000,0,,金錢,新竹縣湖口鄉****,,匯款,112 年 11 月 06 日,,,,,,,,,,
林思銘,113年立法委員選舉,首次,112 年 12 月 02 日,營利事業捐贈收入,盛傑營造,16440757,1000000,0,,金錢,臺中市西屯區****,,票據,112 年 12 月 05 日,,,,,,,,,,
林思銘,113年立法委員選舉,首次,113 年 01 月 02 日,營利事業捐贈收入,仲超投資,28647472,60000,0,,金錢,新竹縣竹東鎮****,,匯款,113 年 01 月 02 日,,,,,,,,,,
林思銘,113年立法委員選舉,首次,113 年 01 月 05 日,營利事業捐贈收入,泉銘工程,80074664,100000,0,,金錢,新竹縣新埔鎮****,,現金,113 年 01 月 05 日,,,,,,,,,,
林思銘,113年立法委員選舉,首次,113 年 01 月 11 日,營利事業捐贈收入,騰楊營造,89386549,100000,0,,金錢,新竹縣竹北市****,,現金,113 年 01 月 11 日,,,,,,,,,,
徐欣瑩,113年立法委員選舉,首次,112 年 08 月 14 日,營利事業捐贈收入,弘宜投資,28492786,5000,0,,金錢,新竹縣寶山鄉****,,匯款,112 年 08 月 14 日,,,,,,,,,,
徐欣瑩,113年立法委員選舉,首次,112 年 08 月 14 日,營利事業捐贈收入,千禾投資,42627650,100000,0,,金錢,臺北市內湖區****,02-2*****,匯款,112 年 08 月 14 日,,,,,,,,,,
徐欣瑩,113年立法委員選舉,首次,112 年 11 月 11 日,營利事業捐贈收入,西北汽車行,48109599,10000,0,,金錢,新竹縣新豐鄉****,,現金,112 年 11 月 21 日,,,,,,,,,,
徐欣瑩,113年立法委員選舉,首次,112 年 12 月 05 日,營利事業捐贈收入,苗凰水電工程,48411164,30000,0,,金錢,新竹縣新豐鄉****,,現金,112 年 12 月 07 日,,,,,,,,,,
徐欣瑩,113年立法委員選舉,首次,112 年 12 月 18 日,營利事業捐贈收入,怡歆企業社,87593183,2000,0,,金錢,桃園市龍潭區****,,匯款,112 年 12 月 18 日,,,,,,,,,,
徐欣瑩,113年立法委員選舉,首次,112 年 12 月 18 日,營利事業捐贈收入,瑞嶸興業,83132766,300000,0,,金錢,新竹市東區明****,,匯款,112 年 12 月 18 日,,,,,,,,,,
詹紀緹,113年立法委員選舉,首次,112 年 09 月 26 日,營利事業捐贈收入,築誠營造,28333850,200000,0,,金錢,新竹縣湖口鄉****,03-5*****,匯款,112 年 09 月 26 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 09 月 09 日,營利事業捐贈收入,新民路加油站,22802481,20000,0,,金錢,嘉義市西區永****,05-2*****,現金,112 年 09 月 12 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 10 月 11 日,營利事業捐贈收入,詠成生命禮儀社,85551969,20000,0,,金錢,嘉義市西區福****,,現金,112 年 10 月 12 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 10 月 20 日,營利事業捐贈收入,虹螢事務機器行,66612229,4000,0,,金錢,嘉義市東區東****,,現金,112 年 10 月 24 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 11 月 15 日,營利事業捐贈收入,保證責任嘉義市第三信用合作社,66012800,100000,0,,金錢,嘉義市西區文****,,現金,112 年 11 月 16 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 11 月 15 日,營利事業捐贈收入,松文開發,83295445,100000,0,,金錢,臺北市大安區****,,現金,112 年 11 月 21 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 11 月 16 日,營利事業捐贈收入,保證責任嘉義市第三信用合作社,66012800,100000,0,,金錢,嘉義市西區文****,,現金,112 年 11 月 16 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 11 月 17 日,營利事業捐贈收入,松文開發,83295445,100000,0,,金錢,臺北市大安區****,,現金,112 年 11 月 21 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 11 月 18 日,營利事業捐贈收入,松文開發,83295445,100000,0,,金錢,臺北市大安區****,,現金,112 年 11 月 21 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,112 年 11 月 23 日,營利事業捐贈收入,摩尼寶庫投資,24650947,70000,0,,金錢,嘉義市東區王****,,現金,112 年 11 月 24 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,113 年 01 月 06 日,營利事業捐贈收入,凱昭企業社,85826849,100000,0,,金錢,嘉義市西區福****,,現金,113 年 01 月 08 日,,,,,,,,,,
王美惠,113年立法委員選舉,首次,113 年 01 月 07 日,營利事業捐贈收入,凱昭企業社,85826849,100000,0,,金錢,嘉義市西區福****,,現金,113 年 01 月 08 日,,,,,,,,,,
張秀華,113年立法委員選舉,首次,112 年 07 月 11 日,營利事業捐贈收入,光興塑膠機械廠,66398190,500000,0,,金錢,嘉義縣太保市****,05-2*****,匯款,112 年 07 月 11 日,,,,,,,,,,
張秀華,113年立法委員選舉,首次,112 年 08 月 20 日,營利事業捐贈收入,街角壹陸壹法式餐廳,98871439,10000,0,,金錢,嘉義市西區友****,,現金,112 年 08 月 21 日,,,,,,,,,,
張秀華,113年立法委員選舉,首次,112 年 09 月 05 日,營利事業捐贈收入,東企營造,96895940,100000,0,,金錢,嘉義縣竹崎鄉****,0953*****,現金,112 年 09 月 06 日,,,,,,,,,,
張秀華,113年立法委員選舉,首次,112 年 09 月 07 日,營利事業捐贈收入,上鳳實業,89335367,25000,0,,金錢,嘉義縣民雄鄉****,0920*****,現金,112 年 09 月 07 日,,,,,,,,,,
